iter	Passed	Remaining
1352	407653	194938
1353	407901	194611
1354	408162	194291
1355	408488	194002
1356	408656	193637
1357	408923	193320
1358	409284	193047
1359	409408	192663
1360	409722	192367
1361	410081	192093
1362	410566	191878
1363	410893	191589
1364	411115	191251
1365	411327	190909
1366	411613	190600
1367	411768	190232
1368	412098	189944
1369	412537	189707
1370	412869	189420
1371	412994	189038
1372	413250	188716
1373	413420	188356
1374	413781	188082
1375	413891	187694
1376	414222	187407
1377	414525	187108
1378	414663	186733
1379	415023	186459
1380	415192	186099
1381	415456	185783
1382	415819	185510
1383	416182	185237
1384	416258	184836
1385	416650	184576
1386	417034	184312
1387	417395	184038
1388	417482	183644
1389	417841	183369
1390	418063	183034
1391	418275	182695
1392	418635	182420
1393	418963	182131
1394	419200	181803
1395	419459	181485
1396	419793	181199
1397	420126	180912
1398	420330	180570
1399	420587	180251
1400	420949	179977
1401	421268	179685
1402	421715	179447
1403	422040	179156
1404	422272	178827
1405	422514	178501
1406	422875	178226
1407	423236	177951
1408	423475	177625
1409	423700	177293
1410	424040	177009
1411	424403	176734
1412	424640	176407
1413	424853	176070
1414	425196	175787
1415	425556	175512
1416	425828	175199
1417	426311	174974
1418	426562	174652
1419	426829	174338
1420	427124	174035
1421	427487	173760
1422	427760	173448
1423	428007	173126
1424	428286	172817
1425	428648	172541
1426	428937	172236
1427	429162	171905
1428	429442	171596
1429	429804	171320
1430	430148	171037
1431	430393	170714
1432	430615	170383
1433	430964	170101
1434	431284	169808
1435	431728	169564
1436	432097	169290
1437	432340	168967
1438	432588	168646
1439	432909	168353
1440	433296	168086
1441	433667	167813
1442	434030	167536
1443	434112	167151
1444	434465	166870
1445	434824	166592
1446	435108	166285
1447	435383	165974
1448	435655	165663
1449	436008	165382
1450	436369	165104
1451	436642	164793
1452	436888	164472
1453	437172	164165
1454	437536	163888
1455	437866	163598
1456	438097	163271
1457	438579	163038
1458	438926	162754
1459	439260	162466
1460	439497	162141
1461	439852	161860
1462	440214	161582
1463	440504	161277
1464	440778	160966
1465	441009	160640
1466	441379	160364
1467	441745	160087
1468	442070	159795
1469	442341	159483
1470	442525	159140
1471	442685	158789
1472	443018	158500
1473	443368	158216
1474	443685	157921
1475	443924	157599
1476	444173	157280
1477	444537	157001
1478	444869	156711
1479	445117	156392
1480	445375	156076
1481	445702	155785
1482	446066	155506
1483	446373	155208
1484	446712	154920
1485	446947	154596
1486	447245	154295
1487	447610	154016
1488	447890	153708
1489	448084	153371
1490	448442	153090
1491	448801	152809
1492	448989	152469
1493	449239	152152
1494	449508	151840
1495	449669	151492
1496	450031	151212
1497	450288	150897
1498	450521	150574
1499	450841	150280
1500	451075	149957
1501	451272	149623
1502	451633	149342
1503	451720	148971
1504	452062	148685
1505	452265	148352
1506	452506	148033
1507	452929	147772
1508	453262	147482
1509	453629	147204
1510	453966	146915
1511	454216	146598
1512	454496	146292
1513	454786	145988
1514	455148	145707
1515	455497	145422
1516	455750	145106
1517	455993	144788
1518	456311	144493
1519	456671	144212
1520	456988	143916
1521	457107	143559
1522	457448	143271
1523	457876	143011
1524	458063	142675
1525	458310	142358
1526	458669	142076
1527	458746	141706
1528	459228	141462
1529	459702	141215
1530	459953	140900
1531	460246	140597
1532	460401	140252
1533	460738	139963
1534	461103	139682
1535	461350	139366
1536	461831	139120
1537	462255	138857
1538	462555	138556
1539	462729	138217
1540	463046	137922
1541	463391	137634
1542	463817	137371
1543	464172	137087
1544	464400	136765
1545	464637	136446
1546	464980	136157
1547	465346	135876
1548	465596	135560
1549	465830	135241
1550	466140	134943
1551	466502	134660
1552	466818	134364
1553	467069	134049
1554	467325	133736
1555	467669	133448
1556	468018	133161
1557	468431	132892
1558	468779	132605
1559	469048	132295
1560	469307	131983
1561	469596	131679
1562	469957	131395
1563	470272	131098
1564	470511	130781
1565	470744	130461
1566	471121	130182
1567	471482	129898
1568	471786	129598
1569	471991	129271
1570	472274	128965
1571	472635	128682
1572	472944	128383
1573	473400	128124
1574	473727	127831
1575	473970	127514
1576	474248	127208
1577	474566	126911
1578	474925	126626
1579	475160	126308
1580	475376	125985
1581	475746	125702
1582	476109	125418
1583	476399	125115
1584	476566	124779
1585	476903	124488
1586	477269	124204
1587	477533	123894
1588	478016	123640
1589	478286	123331
1590	478544	123019
1591	478848	122720
1592	479210	122434
1593	479515	122135
1594	479755	121818
1595	480014	121507
1596	480300	121202
1597	480782	120947
1598	480943	120611
1599	481230	120307
1600	481539	120008
1601	481750	119685
1602	482028	119379
1603	482388	119093
1604	482476	118740
1605	482827	118451
1606	483084	118140
1607	483253	117807
1608	483607	117520
1609	483748	117181
1610	484051	116881
1611	484402	116593
1612	484597	116267
1613	484854	115956
1614	485152	115655
1615	485295	115317
1616	485654	115031
1617	485816	114698
1618	486129	114401
1619	486493	114115
1620	486835	113825
1621	487091	113514
1622	487322	113198
1623	487663	112907
1624	488023	112620
1625	488100	112269
1626	488461	111982
1627	488673	111662
1628	488892	111343
1629	489251	111057
1630	489328	110706
1631	489688	110420
1632	489998	110122
1633	490239	109808
1634	490505	109501
1635	490845	109210
1636	491230	108928
1637	491619	108648
1638	491983	108362
1639	492059	108013
1640	492420	107726
1641	492552	107389
1642	492843	107087
1643	493094	106777
1644	493280	106452
1645	493645	106166
1646	493720	105818
1647	494069	105529
1648	494260	105206
1649	494501	104894
1650	494859	104606
1651	494997	104272
1652	495294	103972
1653	495653	103685
1654	495955	103386
1655	496137	103062
1656	496446	102764
1657	496841	102484
1658	497203	102198
1659	497501	101897
1660	497739	101585
